draw,status,binding_bounds,urea_export
210,OPTIMAL,v2:upper,61.91306898683912
211,OPTIMAL,v2:upper,58.92637588932566
212,OPTIMAL,v2:upper,65.85368669490799
213,OPTIMAL,v2:upper,364.3902626157804
214,OPTIMAL,v2:upper,355.5101344852281
215,OPTIMAL,v2:upper,58.11693872172431
216,OPTIMAL,b1:lower;b2:lower;b3:upper;b4:upper;b5:lower;b6:upper;b7:upper;b8:upper;b14:lower,1000.0
217,OPTIMAL,v2:upper,29.657109767742696
218,OPTIMAL,v1:upper,190.20385242707746
219,OPTIMAL,v2:upper,221.73462837838085
220,OPTIMAL,v2:upper,401.5239891576932
221,OPTIMAL,v2:upper,145.62954180856346
222,OPTIMAL,v1:upper,44.389842448480124
223,OPTIMAL,v2:upper,129.59870064177204
224,OPTIMAL,v2:upper,160.76201012911875
225,OPTIMAL,v2:upper,16.787238459546405
226,OPTIMAL,v2:upper,84.51102665876765
227,OPTIMAL,v2:upper,253.27713447014887
228,OPTIMAL,v1:upper,169.7718837288851
229,OPTIMAL,v2:upper,36.22185062532126
230,OPTIMAL,v2:upper,6.395366456509683
231,OPTIMAL,v2:upper,68.68161235970251
232,OPTIMAL,v2:upper,90.50676489654917
233,OPTIMAL,v2:upper,24.815844216196037
234,OPTIMAL,v2:upper,19.430306138072424
235,OPTIMAL,v2:upper,408.9045606300884
236,OPTIMAL,v2:upper,71.56795249507991
237,OPTIMAL,v2:upper,65.5992682555319
238,OPTIMAL,v2:upper,103.5315304533019
239,OPTIMAL,v2:upper,53.84009532991681
240,OPTIMAL,v2:upper,75.16804246893147
241,OPTIMAL,v2:upper,56.050728594898224
242,OPTIMAL,v2:upper,219.3724952963357
243,OPTIMAL,v2:upper,302.26871385236933
244,OPTIMAL,v2:upper,69.48260060946726
245,OPTIMAL,v2:upper,121.54955732277156
246,OPTIMAL,v2:upper,58.686103977104445
247,OPTIMAL,v2:upper,201.30141835505628
248,OPTIMAL,v2:upper,117.77368537947115
249,OPTIMAL,v2:upper,171.64326042850422
250,OPTIMAL,v2:upper,179.46094123372785
251,OPTIMAL,v2:upper,604.3788423938105
252,OPTIMAL,v2:upper,157.9627763286795
253,OPTIMAL,v2:upper,86.79009631192982
254,OPTIMAL,v2:upper,24.335177661292775
255,OPTIMAL,v2:upper,201.52735622201575
256,OPTIMAL,v2:upper,291.42159471153616
257,OPTIMAL,v2:upper,156.59787303867225
258,OPTIMAL,v2:upper,123.24542652036273
259,OPTIMAL,v2:upper,66.67966539123564
260,OPTIMAL,v2:upper,94.96547012928909
261,OPTIMAL,v2:upper,166.25475467283155
262,OPTIMAL,v2:upper,32.67879151016477
263,OPTIMAL,v1:upper,26.455938454748445
264,OPTIMAL,v2:upper,60.65081673360251
265,OPTIMAL,v1:upper,161.3555658096161
266,OPTIMAL,v2:upper,250.7087781563559
267,OPTIMAL,v2:upper,49.99451785587585
268,OPTIMAL,v1:upper,42.54809120660467
269,OPTIMAL,v2:upper,111.50649714454784
270,OPTIMAL,v2:upper,85.63707399319314
271,OPTIMAL,v2:upper,10.83606972333814
272,OPTIMAL,v2:upper,183.23862345381067
273,OPTIMAL,v2:upper,539.954211698706
274,OPTIMAL,v2:upper,22.039279517247966
275,OPTIMAL,v2:upper,80.0259737445822
276,OPTIMAL,v2:upper,177.6555878875398
